gene_name	cdR20291_gene	cd630_gene	cdR20291_homolog	cd630_homolog	iCdR700_included	iCdG706_included
none	fig|645463.3.peg.542	none	1	0	0	0
none	fig|645463.3.peg.543	none	1	0	0	0
none	fig|645463.3.peg.545	none	1	0	0	0
none	fig|645463.3.peg.550	none	1	0	0	0
none	fig|645463.3.peg.551	none	1	0	0	0
none	fig|645463.3.peg.552	none	1	0	0	0
none	fig|645463.3.peg.555	none	1	0	0	0
none	fig|645463.3.peg.556	none	1	0	0	0
none	fig|645463.3.peg.561	none	1	0	0	0
none	fig|645463.3.peg.582	none	1	0	0	0
none	fig|645463.3.peg.592	none	1	0	0	0
none	fig|645463.3.peg.604	none	1	0	0	0
none	fig|645463.3.peg.621	none	1	0	0	0
none	fig|645463.3.peg.632	none	1	0	0	0
none	fig|645463.3.peg.650	none	1	0	0	0
none	fig|645463.3.peg.659	none	1	0	0	0
none	fig|645463.3.peg.663	none	1	0	0	0
none	fig|645463.3.peg.724	none	1	0	0	0
none	fig|645463.3.peg.742	none	1	0	0	0
none	fig|645463.3.peg.768	none	1	0	0	0
none	fig|645463.3.peg.927	none	1	0	0	0
none	fig|645463.3.peg.936	none	1	0	0	0
none	fig|645463.3.peg.967	none	1	0	0	0
none	fig|645463.3.peg.1027	none	1	0	0	0
none	fig|645463.3.peg.1030	none	1	0	0	0
none	fig|645463.3.peg.1139	none	1	0	0	0
none	fig|645463.3.peg.1140	none	1	0	0	0
none	fig|645463.3.peg.1141	none	1	0	0	0
none	fig|645463.3.peg.1145	none	1	0	0	0
none	fig|645463.3.peg.1150	none	1	0	0	0
none	fig|645463.3.peg.1157	none	1	0	0	0
none	fig|645463.3.peg.1206	none	1	0	0	0
none	fig|645463.3.peg.1342	none	1	0	0	0
none	fig|645463.3.peg.1343	none	1	0	0	0
none	fig|645463.3.peg.1355	none	1	0	0	0
none	fig|645463.3.peg.1402	none	1	0	0	0
none	fig|645463.3.peg.1433	none	1	0	0	0
none	fig|645463.3.peg.1496	none	1	0	0	0
none	fig|645463.3.peg.1497	none	1	0	0	0
none	fig|645463.3.peg.1501	none	1	0	0	0
none	fig|645463.3.peg.1503	none	1	0	0	0
none	fig|645463.3.peg.1504	none	1	0	0	0
none	fig|645463.3.peg.1506	none	1	0	0	0
none	fig|645463.3.peg.1507	none	1	0	0	0
none	fig|645463.3.peg.1508	none	1	0	0	0
none	fig|645463.3.peg.1509	none	1	0	0	0
none	fig|645463.3.peg.1510	none	1	0	0	0
none	fig|645463.3.peg.1511	none	1	0	0	0
none	fig|645463.3.peg.1512	none	1	0	0	0
none	fig|645463.3.peg.1514	none	1	0	0	0
none	fig|645463.3.peg.1515	none	1	0	0	0
none	fig|645463.3.peg.1517	none	1	0	0	0
none	fig|645463.3.peg.1518	none	1	0	0	0
none	fig|645463.3.peg.1520	none	1	0	0	0
none	fig|645463.3.peg.1521	none	1	0	0	0
none	fig|645463.3.peg.1526	none	1	0	0	0
none	fig|645463.3.peg.1533	none	1	0	0	0
none	fig|645463.3.peg.1538	none	1	0	0	0
none	fig|645463.3.peg.1545	none	1	0	0	0
none	fig|645463.3.peg.1546	none	1	0	0	0
none	fig|645463.3.peg.1558	none	1	0	0	0
none	fig|645463.3.peg.1559	none	1	0	0	0
none	fig|645463.3.peg.1561	none	1	0	0	0
none	fig|645463.3.peg.1563	none	1	0	0	0
none	fig|645463.3.peg.1564	none	1	0	0	0
none	fig|645463.3.peg.1565	none	1	0	0	0
none	fig|645463.3.peg.1570	none	1	0	0	0
none	fig|645463.3.peg.1664	none	1	0	0	0
none	fig|645463.3.peg.1676	none	1	0	0	0
none	fig|645463.3.peg.1806	none	1	0	0	0
none	fig|645463.3.peg.1859	none	1	0	0	0
none	fig|645463.3.peg.1867	none	1	0	0	0
none	fig|645463.3.peg.1868	none	1	0	0	0
none	fig|645463.3.peg.1869	none	1	0	0	0
none	fig|645463.3.peg.1870	none	1	0	0	0
none	fig|645463.3.peg.1871	none	1	0	0	0
none	fig|645463.3.peg.1872	none	1	0	0	0
none	fig|645463.3.peg.1873	none	1	0	0	0
none	fig|645463.3.peg.1874	none	1	0	0	0
none	fig|645463.3.peg.1876	none	1	0	0	0
none	fig|645463.3.peg.1877	none	1	0	0	0
none	fig|645463.3.peg.1878	none	1	0	0	0
none	fig|645463.3.peg.1879	none	1	0	0	0
none	fig|645463.3.peg.1880	none	1	0	0	0
none	fig|645463.3.peg.1881	none	1	0	0	0
none	fig|645463.3.peg.1882	none	1	0	0	0
none	fig|645463.3.peg.1883	none	1	0	0	0
none	fig|645463.3.peg.1884	none	1	0	0	0
none	fig|645463.3.peg.1885	none	1	0	0	0
none	fig|645463.3.peg.1887	none	1	0	0	0
none	fig|645463.3.peg.1892	none	1	0	0	0
none	fig|645463.3.peg.1895	none	1	0	0	0
none	fig|645463.3.peg.1898	none	1	0	0	0
none	fig|645463.3.peg.1900	none	1	0	0	0
none	fig|645463.3.peg.1901	none	1	0	0	0
none	fig|645463.3.peg.1902	none	1	0	0	0
none	fig|645463.3.peg.1904	none	1	0	0	0
none	fig|645463.3.peg.1905	none	1	0	0	0
none	fig|645463.3.peg.1906	none	1	0	0	0
none	fig|645463.3.peg.1907	none	1	0	0	0
none	fig|645463.3.peg.1908	none	1	0	0	0
none	fig|645463.3.peg.2037	none	1	0	0	0
none	fig|645463.3.peg.2056	none	1	0	0	0
none	fig|645463.3.peg.2059	none	1	0	0	0
none	fig|645463.3.peg.2085	none	1	0	0	0
none	fig|645463.3.peg.2086	none	1	0	0	0
none	fig|645463.3.peg.2093	none	1	0	0	0
none	fig|645463.3.peg.2241	none	1	0	0	0
none	fig|645463.3.peg.2344	none	1	0	0	0
none	fig|645463.3.peg.2345	none	1	0	0	0
none	fig|645463.3.peg.2426	none	1	0	0	0
none	fig|645463.3.peg.2429	none	1	0	0	0
none	fig|645463.3.peg.2430	none	1	0	0	0
none	fig|645463.3.peg.2435	none	1	0	0	0
none	fig|645463.3.peg.2453	none	1	0	0	0
none	fig|645463.3.peg.2454	none	1	0	0	0
none	fig|645463.3.peg.2651	none	1	0	0	0
none	fig|645463.3.peg.2652	none	1	0	0	0
none	fig|645463.3.peg.2677	none	1	0	0	0
Na+/H+ antiporter	fig|645463.3.peg.2716	none	1	0	1	0
dihydrofolate reductase (EC 1.5.1.3)	fig|645463.3.peg.2866	none	1	0	1	0
none	fig|645463.3.peg.2868	none	1	0	0	0
none	fig|645463.3.peg.2869	none	1	0	0	0
none	fig|645463.3.peg.2874	none	1	0	0	0
none	fig|645463.3.peg.2877	none	1	0	0	0
none	fig|645463.3.peg.2894	none	1	0	0	0
none	fig|645463.3.peg.2923	none	1	0	0	0
none	fig|645463.3.peg.2934	none	1	0	0	0
none	fig|645463.3.peg.2966	none	1	0	0	0
none	fig|645463.3.peg.2997	none	1	0	0	0
none	fig|645463.3.peg.3073	none	1	0	0	0
none	fig|645463.3.peg.3074	none	1	0	0	0
none	fig|645463.3.peg.3075	none	1	0	0	0
none	fig|645463.3.peg.3076	none	1	0	0	0
none	fig|645463.3.peg.3077	none	1	0	0	0
none	fig|645463.3.peg.3078	none	1	0	0	0
none	fig|645463.3.peg.3116	none	1	0	0	0
none	fig|645463.3.peg.3129	none	1	0	0	0
none	fig|645463.3.peg.3131	none	1	0	0	0
none	fig|645463.3.peg.3132	none	1	0	0	0
none	fig|645463.3.peg.3133	none	1	0	0	0
none	fig|645463.3.peg.3135	none	1	0	0	0
none	fig|645463.3.peg.3157	none	1	0	0	0
none	fig|645463.3.peg.3160	none	1	0	0	0
none	fig|645463.3.peg.3165	none	1	0	0	0
none	fig|645463.3.peg.3166	none	1	0	0	0
none	fig|645463.3.peg.3167	none	1	0	0	0
none	fig|645463.3.peg.3168	none	1	0	0	0
none	fig|645463.3.peg.3169	none	1	0	0	0
none	fig|645463.3.peg.3170	none	1	0	0	0
none	fig|645463.3.peg.3171	none	1	0	0	0
none	fig|645463.3.peg.3172	none	1	0	0	0
none	fig|645463.3.peg.3173	none	1	0	0	0
none	fig|645463.3.peg.3174	none	1	0	0	0
none	fig|645463.3.peg.3176	none	1	0	0	0
none	fig|645463.3.peg.3177	none	1	0	0	0
none	fig|645463.3.peg.3178	none	1	0	0	0
none	fig|645463.3.peg.3180	none	1	0	0	0
none	fig|645463.3.peg.3181	none	1	0	0	0
none	fig|645463.3.peg.3182	none	1	0	0	0
none	fig|645463.3.peg.3183	none	1	0	0	0
none	fig|645463.3.peg.3184	none	1	0	0	0
none	fig|645463.3.peg.3185	none	1	0	0	0
none	fig|645463.3.peg.3197	none	1	0	0	0
none	fig|645463.3.peg.3213	none	1	0	0	0
none	fig|645463.3.peg.3214	none	1	0	0	0
none	fig|645463.3.peg.3248	none	1	0	0	0
none	fig|645463.3.peg.3356	none	1	0	0	0
none	fig|645463.3.peg.3357	none	1	0	0	0
none	fig|645463.3.peg.3378	none	1	0	0	0
none	fig|645463.3.peg.3380	none	1	0	0	0
none	fig|645463.3.peg.3382	none	1	0	0	0
none	fig|645463.3.peg.3475	none	1	0	0	0
none	fig|645463.3.peg.3479	none	1	0	0	0
none	fig|645463.3.peg.3480	none	1	0	0	0
none	fig|645463.3.peg.3481	none	1	0	0	0
none	fig|645463.3.peg.3482	none	1	0	0	0
none	fig|645463.3.peg.3483	none	1	0	0	0
none	fig|645463.3.peg.3484	none	1	0	0	0
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|645463.3.peg.3485	none	1	0	1	0
none	fig|645463.3.peg.3486	none	1	0	0	0
none	fig|645463.3.peg.3487	none	1	0	0	0
none	fig|645463.3.peg.3488	none	1	0	0	0
none	fig|645463.3.peg.3489	none	1	0	0	0
none	fig|645463.3.peg.3490	none	1	0	0	0
none	fig|645463.3.peg.3492	none	1	0	0	0
none	fig|645463.3.peg.3493	none	1	0	0	0
none	fig|645463.3.peg.3568	none	1	0	0	0
none	fig|645463.3.peg.3665	none	1	0	0	0
none	fig|645463.3.peg.3669	none	1	0	0	0
none	fig|645463.3.peg.3677	none	1	0	0	0
none	fig|645463.3.peg.3683	none	1	0	0	0
none	fig|645463.3.peg.3686	none	1	0	0	0
none	fig|645463.3.peg.3691	none	1	0	0	0
none	fig|645463.3.peg.1528	fig|272563.8.peg.995	1	1	0	0
none	fig|645463.3.peg.1527	fig|272563.8.peg.994	1	1	0	0
none	fig|645463.3.peg.1524	fig|272563.8.peg.991	1	1	0	0
none	fig|645463.3.peg.1523	fig|272563.8.peg.990	1	1	0	0
none	fig|645463.3.peg.96	fig|272563.8.peg.99	1	1	0	0
none	fig|645463.3.peg.1522	fig|272563.8.peg.989	1	1	0	0
none	fig|645463.3.peg.95	fig|272563.8.peg.98	1	1	0	0
none	fig|645463.3.peg.94	fig|272563.8.peg.97	1	1	0	0
none	fig|645463.3.peg.93	fig|272563.8.peg.96	1	1	0	0
none	fig|645463.3.peg.1505	fig|272563.8.peg.952	1	1	0	0
none	fig|645463.3.peg.92	fig|272563.8.peg.95	1	1	0	0
none	fig|645463.3.peg.1499	fig|272563.8.peg.947	1	1	0	0
none	fig|645463.3.peg.895	fig|272563.8.peg.942	1	1	0	0
none	fig|645463.3.peg.894	fig|272563.8.peg.941	1	1	0	0
none	fig|645463.3.peg.893	fig|272563.8.peg.940	1	1	0	0
none	fig|645463.3.peg.91	fig|272563.8.peg.94	1	1	0	0
none	fig|645463.3.peg.892	fig|272563.8.peg.939	1	1	0	0
none	fig|645463.3.peg.891	fig|272563.8.peg.938	1	1	0	0
none	fig|645463.3.peg.890	fig|272563.8.peg.937	1	1	0	0
none	fig|645463.3.peg.889	fig|272563.8.peg.936	1	1	0	0
none	fig|645463.3.peg.888	fig|272563.8.peg.935	1	1	0	0
none	fig|645463.3.peg.885	fig|272563.8.peg.934	1	1	0	0
none	fig|645463.3.peg.887	fig|272563.8.peg.934	1	1	0	0
none	fig|645463.3.peg.884	fig|272563.8.peg.933	1	1	0	0
none	fig|645463.3.peg.883	fig|272563.8.peg.932	1	1	0	0
none	fig|645463.3.peg.882	fig|272563.8.peg.931	1	1	0	0
Agmatinase (EC 3.5.3.11)	fig|645463.3.peg.881	fig|272563.8.peg.930	1	1	1	1
none	fig|645463.3.peg.90	fig|272563.8.peg.93	1	1	0	0
Spermidine synthase (EC 2.5.1.16)	fig|645463.3.peg.880	fig|272563.8.peg.929	1	1	1	1
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B	fig|645463.3.peg.879	fig|272563.8.peg.928	1	1	1	1
Arginine decarboxylase (EC 4.1.1.19)	fig|645463.3.peg.878	fig|272563.8.peg.927	1	1	1	1
none	fig|645463.3.peg.877	fig|272563.8.peg.926	1	1	0	0
none	fig|645463.3.peg.876	fig|272563.8.peg.925	1	1	0	0
Glycogen phosphorylase (EC 2.4.1.1)	fig|645463.3.peg.875	fig|272563.8.peg.924	1	1	1	1
Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	fig|645463.3.peg.874	fig|272563.8.peg.923	1	1	1	1
Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family	fig|645463.3.peg.873	fig|272563.8.peg.922	1	1	1	1
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	fig|645463.3.peg.872	fig|272563.8.peg.921	1	1	1	1
none	fig|645463.3.peg.871	fig|272563.8.peg.920	1	1	0	0
none	fig|645463.3.peg.89	fig|272563.8.peg.92	1	1	0	0
none	fig|645463.3.peg.870	fig|272563.8.peg.919	1	1	0	0
none	fig|645463.3.peg.868	fig|272563.8.peg.918	1	1	0	0
none	fig|645463.3.peg.866	fig|272563.8.peg.916	1	1	0	0
ABC transporter, substrate-binding protein	fig|645463.3.peg.865	fig|272563.8.peg.915	1	1	1	0
none	fig|645463.3.peg.864	fig|272563.8.peg.914	1	1	0	0
none	fig|645463.3.peg.867	fig|272563.8.peg.914	1	1	0	0
none	fig|645463.3.peg.863	fig|272563.8.peg.913	1	1	0	0
ABC transporter, substrate-binding protein	fig|645463.3.peg.862	fig|272563.8.peg.912	1	1	1	0
Maltose O-acetyltransferase (EC 2.3.1.79)	fig|645463.3.peg.861	fig|272563.8.peg.911	1	1	1	1
none	fig|645463.3.peg.860	fig|272563.8.peg.910	1	1	0	0
none	fig|645463.3.peg.88	fig|272563.8.peg.91	1	1	0	0
none	fig|645463.3.peg.859	fig|272563.8.peg.909	1	1	0	0
none	fig|645463.3.peg.858	fig|272563.8.peg.908	1	1	0	0
Predicted molybdate-responsive regulator YvgK in bacilli	fig|645463.3.peg.857	fig|272563.8.peg.907	1	1	1	0
none	fig|645463.3.peg.856	fig|272563.8.peg.906	1	1	0	0
none	fig|645463.3.peg.855	fig|272563.8.peg.905	1	1	0	0
none	fig|645463.3.peg.854	fig|272563.8.peg.904	1	1	0	0
Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	fig|645463.3.peg.853	fig|272563.8.peg.903	1	1	1	1
PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	fig|645463.3.peg.852	fig|272563.8.peg.902	1	1	1	1
PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	fig|645463.3.peg.851	fig|272563.8.peg.901	1	1	1	1
none	fig|645463.3.peg.850	fig|272563.8.peg.900	1	1	0	0
none	fig|645463.3.peg.87	fig|272563.8.peg.90	1	1	0	0
none	fig|645463.3.peg.1	fig|272563.8.peg.9	1	1	0	0
none	fig|645463.3.peg.849	fig|272563.8.peg.899	1	1	0	0
none	fig|645463.3.peg.848	fig|272563.8.peg.898	1	1	0	0
none	fig|645463.3.peg.847	fig|272563.8.peg.897	1	1	0	0
Oligopeptide transport ATP-binding protein oppF (TC 3.A.1.5.1)	fig|645463.3.peg.846	fig|272563.8.peg.896	1	1	1	1
Oligopeptide transport ATP-binding protein oppD (TC 3.A.1.5.1)	fig|645463.3.peg.845	fig|272563.8.peg.894	1	1	1	1
Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	fig|645463.3.peg.844	fig|272563.8.peg.893	1	1	1	1
none	fig|645463.3.peg.843	fig|272563.8.peg.892	1	1	0	0
none	fig|645463.3.peg.842	fig|272563.8.peg.891	1	1	0	0
none	fig|645463.3.peg.841	fig|272563.8.peg.890	1	1	0	0
none	fig|645463.3.peg.1975	fig|272563.8.peg.890	1	1	0	0
none	fig|645463.3.peg.86	fig|272563.8.peg.89	1	1	0	0
none	fig|645463.3.peg.840	fig|272563.8.peg.889	1	1	0	0
none	fig|645463.3.peg.839	fig|272563.8.peg.888	1	1	0	0
none	fig|645463.3.peg.838	fig|272563.8.peg.887	1	1	0	0
none	fig|645463.3.peg.837	fig|272563.8.peg.886	1	1	0	0
none	fig|645463.3.peg.836	fig|272563.8.peg.885	1	1	0	0
none	fig|645463.3.peg.835	fig|272563.8.peg.884	1	1	0	0
none	fig|645463.3.peg.834	fig|272563.8.peg.883	1	1	0	0
none	fig|645463.3.peg.833	fig|272563.8.peg.882	1	1	0	0
none	fig|645463.3.peg.832	fig|272563.8.peg.881	1	1	0	0
none	fig|645463.3.peg.831	fig|272563.8.peg.880	1	1	0	0
none	fig|645463.3.peg.3154	fig|272563.8.peg.880	1	1	0	0
none	fig|645463.3.peg.3155	fig|272563.8.peg.880	1	1	0	0
none	fig|645463.3.peg.85	fig|272563.8.peg.88	1	1	0	0
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	fig|645463.3.peg.830	fig|272563.8.peg.879	1	1	1	1
none	fig|645463.3.peg.829	fig|272563.8.peg.878	1	1	0	0
none	fig|645463.3.peg.828	fig|272563.8.peg.877	1	1	0	0
none	fig|645463.3.peg.827	fig|272563.8.peg.876	1	1	0	0
none	fig|645463.3.peg.826	fig|272563.8.peg.875	1	1	0	0
none	fig|645463.3.peg.825	fig|272563.8.peg.874	1	1	0	0
none	fig|645463.3.peg.824	fig|272563.8.peg.873	1	1	0	0
Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	fig|645463.3.peg.823	fig|272563.8.peg.872	1	1	1	1
Aconitate hydratase (EC 4.2.1.3)	fig|645463.3.peg.822	fig|272563.8.peg.871	1	1	1	1
none	fig|645463.3.peg.821	fig|272563.8.peg.870	1	1	0	0
none	fig|645463.3.peg.84	fig|272563.8.peg.87	1	1	0	0
none	fig|645463.3.peg.820	fig|272563.8.peg.869	1	1	0	0
none	fig|645463.3.peg.819	fig|272563.8.peg.868	1	1	0	0
none	fig|645463.3.peg.818	fig|272563.8.peg.867	1	1	0	0
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	fig|645463.3.peg.817	fig|272563.8.peg.866	1	1	1	1
none	fig|645463.3.peg.816	fig|272563.8.peg.865	1	1	0	0
none	fig|645463.3.peg.815	fig|272563.8.peg.864	1	1	0	0
none	fig|645463.3.peg.814	fig|272563.8.peg.863	1	1	0	0
none	fig|645463.3.peg.813	fig|272563.8.peg.862	1	1	0	0
none	fig|645463.3.peg.1866	fig|272563.8.peg.862	1	1	0	0
none	fig|645463.3.peg.812	fig|272563.8.peg.861	1	1	0	0
none	fig|645463.3.peg.811	fig|272563.8.peg.860	1	1	0	0
none	fig|645463.3.peg.83	fig|272563.8.peg.86	1	1	0	0
none	fig|645463.3.peg.810	fig|272563.8.peg.859	1	1	0	0
none	fig|645463.3.peg.809	fig|272563.8.peg.858	1	1	0	0
none	fig|645463.3.peg.808	fig|272563.8.peg.857	1	1	0	0
6-phospho-beta-glucosidase (EC 3.2.1.86)	fig|645463.3.peg.807	fig|272563.8.peg.856	1	1	1	1
none	fig|645463.3.peg.886	fig|272563.8.peg.855	1	1	0	0
none	fig|645463.3.peg.2661	fig|272563.8.peg.855	1	1	0	0
PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	fig|645463.3.peg.806	fig|272563.8.peg.854	1	1	1	1
none	fig|645463.3.peg.805	fig|272563.8.peg.853	1	1	0	0
none	fig|645463.3.peg.804	fig|272563.8.peg.852	1	1	0	0
none	fig|645463.3.peg.803	fig|272563.8.peg.851	1	1	0	0
none	fig|645463.3.peg.802	fig|272563.8.peg.850	1	1	0	0
none	fig|645463.3.peg.82	fig|272563.8.peg.85	1	1	0	0
none	fig|645463.3.peg.801	fig|272563.8.peg.849	1	1	0	0
none	fig|645463.3.peg.800	fig|272563.8.peg.848	1	1	0	0
none	fig|645463.3.peg.799	fig|272563.8.peg.847	1	1	0	0
none	fig|645463.3.peg.798	fig|272563.8.peg.846	1	1	0	0
none	fig|645463.3.peg.797	fig|272563.8.peg.845	1	1	0	0
none	fig|645463.3.peg.796	fig|272563.8.peg.844	1	1	0	0
none	fig|645463.3.peg.795	fig|272563.8.peg.843	1	1	0	0
none	fig|645463.3.peg.794	fig|272563.8.peg.842	1	1	0	0
none	fig|645463.3.peg.793	fig|272563.8.peg.841	1	1	0	0
none	fig|645463.3.peg.792	fig|272563.8.peg.840	1	1	0	0
none	fig|645463.3.peg.81	fig|272563.8.peg.84	1	1	0	0
none	fig|645463.3.peg.791	fig|272563.8.peg.839	1	1	0	0
D-beta-hydroxybutyrate permease	fig|645463.3.peg.790	fig|272563.8.peg.838	1	1	1	1
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	fig|645463.3.peg.789	fig|272563.8.peg.837	1	1	1	1
none	fig|645463.3.peg.788	fig|272563.8.peg.836	1	1	0	0
none	fig|645463.3.peg.787	fig|272563.8.peg.835	1	1	0	0
none	fig|645463.3.peg.786	fig|272563.8.peg.834	1	1	0	0
none	fig|645463.3.peg.785	fig|272563.8.peg.833	1	1	0	0
none	fig|645463.3.peg.784	fig|272563.8.peg.832	1	1	0	0
NAD synthetase (EC 6.3.1.5)	fig|645463.3.peg.783	fig|272563.8.peg.831	1	1	1	1
none	fig|645463.3.peg.782	fig|272563.8.peg.830	1	1	0	0
none	fig|645463.3.peg.80	fig|272563.8.peg.83	1	1	0	0
none	fig|645463.3.peg.781	fig|272563.8.peg.829	1	1	0	0
none	fig|645463.3.peg.780	fig|272563.8.peg.828	1	1	0	0
none	fig|645463.3.peg.779	fig|272563.8.peg.827	1	1	0	0
none	fig|645463.3.peg.778	fig|272563.8.peg.826	1	1	0	0
none	fig|645463.3.peg.777	fig|272563.8.peg.825	1	1	0	0
none	fig|645463.3.peg.776	fig|272563.8.peg.824	1	1	0	0
none	fig|645463.3.peg.775	fig|272563.8.peg.823	1	1	0	0
none	fig|645463.3.peg.774	fig|272563.8.peg.822	1	1	0	0
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|645463.3.peg.773	fig|272563.8.peg.821	1	1	1	1
none	fig|645463.3.peg.772	fig|272563.8.peg.820	1	1	0	0
none	fig|645463.3.peg.65	fig|272563.8.peg.82	1	1	0	0
none	fig|645463.3.peg.79	fig|272563.8.peg.82	1	1	0	0
none	fig|645463.3.peg.771	fig|272563.8.peg.819	1	1	0	0
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	fig|645463.3.peg.770	fig|272563.8.peg.818	1	1	1	1
none	fig|645463.3.peg.767	fig|272563.8.peg.817	1	1	0	0
none	fig|645463.3.peg.766	fig|272563.8.peg.816	1	1	0	0
none	fig|645463.3.peg.765	fig|272563.8.peg.815	1	1	0	0
none	fig|645463.3.peg.764	fig|272563.8.peg.814	1	1	0	0
none	fig|645463.3.peg.763	fig|272563.8.peg.813	1	1	0	0
none	fig|645463.3.peg.762	fig|272563.8.peg.812	1	1	0	0
none	fig|645463.3.peg.761	fig|272563.8.peg.811	1	1	0	0
none	fig|645463.3.peg.760	fig|272563.8.peg.810	1	1	0	0
none	fig|645463.3.peg.78	fig|272563.8.peg.81	1	1	0	0
none	fig|645463.3.peg.759	fig|272563.8.peg.809	1	1	0	0
none	fig|645463.3.peg.758	fig|272563.8.peg.808	1	1	0	0
none	fig|645463.3.peg.757	fig|272563.8.peg.807	1	1	0	0
none	fig|645463.3.peg.756	fig|272563.8.peg.806	1	1	0	0
Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)	fig|645463.3.peg.754	fig|272563.8.peg.805	1	1	1	1
PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)	fig|645463.3.peg.753	fig|272563.8.peg.804	1	1	1	1
none	fig|645463.3.peg.752	fig|272563.8.peg.803	1	1	0	0
none	fig|645463.3.peg.751	fig|272563.8.peg.802	1	1	0	0
PTS system, glucitol/sorbitol-specific IIC component (EC 2.7.1.69)	fig|645463.3.peg.750	fig|272563.8.peg.801	1	1	1	1
none	fig|645463.3.peg.749	fig|272563.8.peg.800	1	1	0	0
none	fig|645463.3.peg.77	fig|272563.8.peg.80	1	1	0	0
none	fig|645463.3.peg.748	fig|272563.8.peg.799	1	1	0	0
none	fig|645463.3.peg.747	fig|272563.8.peg.798	1	1	0	0
none	fig|645463.3.peg.746	fig|272563.8.peg.797	1	1	0	0
Pyruvate formate-lyase (EC 2.3.1.54)	fig|645463.3.peg.745	fig|272563.8.peg.796	1	1	1	1
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	fig|645463.3.peg.744	fig|272563.8.peg.795	1	1	1	0
none	fig|645463.3.peg.743	fig|272563.8.peg.794	1	1	0	0
none	fig|645463.3.peg.741	fig|272563.8.peg.793	1	1	0	0
none	fig|645463.3.peg.740	fig|272563.8.peg.792	1	1	0	0
none	fig|645463.3.peg.739	fig|272563.8.peg.791	1	1	0	0
none	fig|645463.3.peg.738	fig|272563.8.peg.790	1	1	0	0
none	fig|645463.3.peg.76	fig|272563.8.peg.79	1	1	0	0
none	fig|645463.3.peg.737	fig|272563.8.peg.789	1	1	0	0
none	fig|645463.3.peg.736	fig|272563.8.peg.788	1	1	0	0
ABC transporter, substrate-binding protein	fig|645463.3.peg.735	fig|272563.8.peg.787	1	1	1	0
