patric	product
645463.3.peg.944	Transcriptional_regulator,_MerR_family,_near_polyamine_transporter
645463.3.peg.945	Spermidine/putrescine_import_ABC_transporter_ATP-binding_protein_PotA_(TC_3.A.1.11.1)
645463.3.peg.946	Spermidine/putrescine_import_ABC_transporter_permease_protein_PotB_(TC_3.A.1.11.1)
645463.3.peg.947	Spermidine/putrescine_import_ABC_transporter_permease_protein_PotC_(TC_3.A.1.11.1)
645463.3.peg.948	Spermidine/putrescine_import_ABC_transporter_substrate-binding_protein_PotD_(TC_3.A.1.11.1)
645463.3.peg.949	hypothetical_protein
645463.3.peg.83	LSU_ribosomal_protein_L23p_(L23Ae)
645463.3.peg.950	hypothetical_protein
645463.3.peg.951	Uncharacterized_glycosyltransferase_YdaM
645463.3.peg.952	hypothetical_protein
645463.3.peg.84	LSU_ribosomal_protein_L2p_(L8e)
645463.3.peg.953	probable_enzyme_with_TIM-barrel_fold
645463.3.peg.954	UDP-N-acetylglucosamine_2-epimerase_(EC_5.1.3.14)
645463.3.peg.955	N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)
645463.3.peg.85	SSU_ribosomal_protein_S19p_(S15e)
645463.3.peg.956	N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)
645463.3.peg.86	LSU_ribosomal_protein_L22p_(L17e)
645463.3.peg.957	N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)
645463.3.peg.87	SSU_ribosomal_protein_S3p_(S3e)
645463.3.peg.958	Hypothetical_cyanobacterial_membrane_protein,_in_cluster_with_PxcA
645463.3.peg.959	ATP-dependent_DNA_helicase_UvrD/PcrA/Rep,_cyanobacterial_paralog
645463.3.peg.960	hypothetical_protein
645463.3.peg.961	ATP-dependent_helicase/nuclease_AddAB,_subunit_B
645463.3.peg.88	LSU_ribosomal_protein_L16p_(L10e)
645463.3.peg.962	ATP-dependent_helicase/nuclease_AddAB,_subunit_A
645463.3.peg.963	Exonuclease_SbcD
645463.3.peg.89	LSU_ribosomal_protein_L29p_(L35e)
645463.3.peg.964	Exonuclease_SbcC
645463.3.peg.90	SSU_ribosomal_protein_S17p_(S11e)
645463.3.peg.965	Magnesium_and_cobalt_efflux_protein_CorC
645463.3.peg.91	LSU_ribosomal_protein_L14p_(L23e)
645463.3.peg.966	hypothetical_protein
645463.3.peg.967	hypothetical_protein
645463.3.peg.968	Tripeptide_aminopeptidase_(EC_3.4.11.4)
645463.3.peg.969	N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)
645463.3.peg.92	LSU_ribosomal_protein_L24p_(L26e)
645463.3.peg.970	phosphodiesterase,_MJ0936_family
645463.3.peg.971	NAD_kinase_(EC_2.7.1.23)
645463.3.peg.972	Efflux_ABC_transporter,_ATP-binding_protein
645463.3.peg.93	LSU_ribosomal_protein_L5p_(L11e)
645463.3.peg.973	hypothetical_protein
645463.3.peg.974	hypothetical_protein
645463.3.peg.975	tRNA_proofreading_protein_STM4549
645463.3.peg.976	Electron_bifurcating_butyryl-CoA_dehydrogenase_(NAD+,_ferredoxin)
645463.3.peg.977	Electron_bifurcating_butyryl-CoA_dehydrogenase,_electron_transfer_flavoprotein_beta
645463.3.peg.978	Electron_bifurcating_butyryl-CoA_dehydrogenase,_electron_transfer_flavoprotein_alpha
645463.3.peg.94	SSU_ribosomal_protein_S14p_(S29e)_@_SSU_ribosomal_protein_S14p_(S29e),_zinc-dependent
645463.3.peg.979	3-hydroxybutyryl-CoA_dehydratase_(EC_4.2.1.55)
645463.3.peg.980	3-hydroxybutyryl-CoA_dehydrogenase_(EC_1.1.1.157)
645463.3.peg.981	Acetyl-CoA_acetyltransferase_(EC_2.3.1.9)
645463.3.peg.95	SSU_ribosomal_protein_S8p_(S15Ae)
645463.3.peg.982	Similar_to_ribosomal_large_subunit_pseudouridine_synthase_D,_Bacillus_subtilis_YjbO_type
645463.3.peg.983	hypothetical_protein
645463.3.peg.984	Acyl_carrier_protein
645463.3.peg.985	hypothetical_protein
645463.3.peg.96	LSU_ribosomal_protein_L6p_(L9e)
645463.3.peg.986	hypothetical_protein
645463.3.peg.987	hypothetical_protein
645463.3.peg.988	Transcriptional_regulator,_LacI_family
645463.3.peg.989	hypothetical_protein
645463.3.peg.990	hypothetical_protein
645463.3.peg.991	hypothetical_protein
645463.3.peg.992	Stage_V_sporulation_protein_B
645463.3.peg.97	LSU_ribosomal_protein_L18p_(L5e)
645463.3.peg.993	Histidinol-phosphatase-related_protein
645463.3.peg.994	Transcriptional_regulator,_GntR_family_domain_/_Aspartate_aminotransferase_(EC_2.6.1.1)
645463.3.peg.995	hypothetical_protein
645463.3.peg.996	Putative_aminopeptidase
645463.3.peg.98	SSU_ribosomal_protein_S5p_(S2e)
645463.3.peg.997	Transcriptional_regulator,_GntR_family
645463.3.peg.998	PTS_system,_mannose-specific_IIA_component_(EC_2.7.1.191)
645463.3.peg.999	FIG00514432:_hypothetical_protein
645463.3.peg.1000	PTS_system,_mannose-specific_IIB_component_(EC_2.7.1.191)
645463.3.peg.1001	PTS_system,_mannose-specific_IIC_component
645463.3.peg.1002	PTS_system,_mannose-specific_IID_component
645463.3.peg.99	LSU_ribosomal_protein_L30p_(L7e)
645463.3.peg.1003	Transcriptional_regulator,_LysR_family
645463.3.peg.1004	putative_lipoprotein
645463.3.peg.100	LSU_ribosomal_protein_L15p_(L27Ae)
645463.3.peg.1005	Molybdopterin_molybdenumtransferase_(EC_2.10.1.1)
645463.3.peg.1006	Molybdopterin-guanine_dinucleotide_biosynthesis_protein_MobB
645463.3.peg.1007	PTS_system,_galactitol-specific_IIB_component_(EC_2.7.1.200)
645463.3.peg.1008	Efflux_ABC_transporter,_permease/ATP-binding_protein_YwjA
645463.3.peg.1009	putative_membrane_protein
645463.3.peg.101	Protein_translocase_subunit_SecY
645463.3.peg.1010	Amidohydrolase_family_protein
645463.3.peg.1011	Metal_transporter,_ZIP_family
645463.3.peg.1012	hypothetical_protein
645463.3.peg.1013	Two-component_transcriptional_response_regulator,_LuxR_family
645463.3.peg.1014	hypothetical_protein
645463.3.peg.1015	hypothetical_protein
645463.3.peg.1016	Pyruvate_formate-lyase_(EC_2.3.1.54)
645463.3.peg.1017	Pyruvate_formate-lyase_activating_enzyme_(EC_1.97.1.4)
645463.3.peg.1018	Transcriptional_regulator_yidN,_Cro/CI_family
645463.3.peg.1019	Phosphohydrolase_from_calcineurin_family
645463.3.peg.1020	hypothetical_protein
645463.3.peg.102	Adenylate_kinase_(EC_2.7.4.3)
645463.3.peg.1021	hypothetical_protein
645463.3.peg.1022	hypothetical_protein
645463.3.peg.1023	Transcriptional_regulator,_AraC_family
645463.3.peg.1024	Transcriptional_regulator,_Xre_family
645463.3.peg.1025	Mobile_element_protein
645463.3.peg.1026	hypothetical_protein
645463.3.peg.103	Methionine_aminopeptidase_(EC_3.4.11.18)
645463.3.peg.1027	hypothetical_protein
645463.3.peg.1028	hypothetical_protein
645463.3.peg.1029	Probable_poly(beta-D-mannuronate)_O-acetylase_(EC_2.3.1.-)
645463.3.peg.1030	hypothetical_protein
645463.3.peg.1031	DNA_polymerase_I_(EC_2.7.7.7)
645463.3.peg.104	L14e-like_protein
645463.3.peg.1032	Dephospho-CoA_kinase_(EC_2.7.1.24)
645463.3.peg.1033	Soluble_lytic_murein_transglycosylase_(EC_4.2.2.n1)
645463.3.peg.1034	hypothetical_protein
645463.3.peg.105	Translation_initiation_factor_1
645463.3.peg.1035	Copper(I)_chaperone_CopZ
645463.3.peg.1036	hypothetical_protein
645463.3.peg.1037	Lactoylglutathione_lyase_(EC_4.4.1.5)
645463.3.peg.106	LSU_ribosomal_protein_L36p_@_LSU_ribosomal_protein_L36p,_zinc-dependent
645463.3.peg.1038	hypothetical_protein
645463.3.peg.1039	hypothetical_protein
645463.3.peg.107	SSU_ribosomal_protein_S13p_(S18e)
645463.3.peg.1040	Electron_transport_complex_protein_RnfC
645463.3.peg.1041	Electron_transport_complex_protein_RnfD
645463.3.peg.1042	Electron_transport_complex_protein_RnfG
645463.3.peg.1043	Electron_transport_complex_protein_RnfE
645463.3.peg.1044	Electron_transport_complex_protein_RnfA
645463.3.peg.108	SSU_ribosomal_protein_S11p_(S14e)
645463.3.peg.1045	Electron_transport_complex_protein_RnfB
645463.3.peg.1046	hypothetical_protein
645463.3.peg.1047	Septum_formation_protein_Maf
645463.3.peg.1048	UPF0758_family_protein
645463.3.peg.1049	Rod_shape-determining_protein_MreB
645463.3.peg.1050	Rod_shape-determining_protein_MreC
645463.3.peg.109	SSU_ribosomal_protein_S4p_(S9e)_@_SSU_ribosomal_protein_S4p_(S9e),_zinc-dependent
645463.3.peg.1051	Rod_shape-determining_protein_MreD
645463.3.peg.1052	Peptidoglycan_D,D-transpeptidase_MrdA_(EC_3.4.16.4)
645463.3.peg.1053	Septum_site-determining_protein_MinC
645463.3.peg.1054	Septum_site-determining_protein_MinD
645463.3.peg.1055	Cell_division_topological_specificity_factor_MinE
645463.3.peg.1056	Rod_shape-determining_protein_RodA
645463.3.peg.1057	Methylglyoxal_synthase_(EC_4.2.3.3)
645463.3.peg.110	DNA-directed_RNA_polymerase_alpha_subunit_(EC_2.7.7.6)
645463.3.peg.1058	Transcriptional_regulator,_PadR_family
645463.3.peg.1059	hypothetical_protein
645463.3.peg.1060	hypothetical_protein
645463.3.peg.1061	Probable_flavoprotein
645463.3.peg.1062	FIG092679:_Fe-S_oxidoreductase
645463.3.peg.1063	FIG017108:_hypothetical_protein
645463.3.peg.1064	Ribonuclease_G
645463.3.peg.1065	LSU_ribosomal_protein_L21p
645463.3.peg.111	LSU_ribosomal_protein_L17p
645463.3.peg.1066	FIG139598:_Potential_ribosomal_protein
645463.3.peg.1067	LSU_ribosomal_protein_L27p
645463.3.peg.1068	GTP-binding_protein_Obg
645463.3.peg.1069	RNA-binding_protein_YhbY
645463.3.peg.1070	Homoserine_dehydrogenase_(EC_1.1.1.3)
645463.3.peg.1071	putative_integrase/recombinase
645463.3.peg.112	ATPase_component_of_general_energizing_module_of_ECF_transporters
645463.3.peg.1072	FIGfam003972:_membrane_protein
645463.3.peg.1073	Lactate-responsive_regulator_LutR,_GntR_family
645463.3.peg.1074	Novel_D-mannonate_dehydrogenase_(EC_1.1.1.57)
645463.3.peg.1075	Electron_transfer_flavoprotein,_beta_subunit
645463.3.peg.1076	Electron_transfer_flavoprotein,_alpha_subunit
645463.3.peg.1077	Glycolate_dehydrogenase_(EC_1.1.99.14),_subunit_GlcD
645463.3.peg.1078	UPF0348_protein_family
645463.3.peg.113	ATPase_component_of_general_energizing_module_of_ECF_transporters
645463.3.peg.1079	Acetate_kinase_(EC_2.7.2.1)
645463.3.peg.1080	FIG01269488:_protein,_clustered_with_ribosomal_protein_L32p
645463.3.peg.1081	LSU_ribosomal_protein_L32p_@_LSU_ribosomal_protein_L32p,_zinc-dependent
645463.3.peg.1082	Transcription_factor_FapR
645463.3.peg.1083	Phosphate:acyl-ACP_acyltransferase_PlsX_(EC_2.3.1.n2)
645463.3.peg.1084	3-oxoacyl-[acyl-carrier-protein]_synthase,_KASIII_(EC_2.3.1.180)
645463.3.peg.1085	Enoyl-[acyl-carrier-protein]_reductase_[FMN,_NADH]_(EC_1.3.1.9),_FabK_=>_refractory_to_triclosan
645463.3.peg.1086	Malonyl_CoA-acyl_carrier_protein_transacylase_(EC_2.3.1.39)
645463.3.peg.1087	3-oxoacyl-[acyl-carrier_protein]_reductase_(EC_1.1.1.100),_FadG
645463.3.peg.114	Transmembrane_component_of_general_energizing_module_of_ECF_transporters
645463.3.peg.1088	Acyl_carrier_protein
645463.3.peg.1089	3-oxoacyl-[acyl-carrier-protein]_synthase,_KASII_(EC_2.3.1.179)
645463.3.peg.1090	hypothetical_protein
645463.3.peg.1091	hypothetical_protein
645463.3.peg.1092	no_significant_homology.
645463.3.peg.1093	Glutamine_amidotransferase,_class_I
645463.3.peg.1094	Uncharacterized_amino_acid_permease,_GabP_family
645463.3.peg.115	tRNA_pseudouridine(38-40)_synthase_(EC_5.4.99.12)
645463.3.peg.1095	Acetyltransferase_TM0577
645463.3.peg.1096	Fructose-1,6-bisphosphatase,_Bacillus_type_(EC_3.1.3.11)
645463.3.peg.1097	Stage_III_sporulation_protein_AA
645463.3.peg.1098	Stage_III_sporulation_protein_AB
645463.3.peg.1099	Stage_III_sporulation_protein_AC
645463.3.peg.1100	Stage_III_sporulation_protein_AD
645463.3.peg.1101	Stage_III_sporulation_protein_AE
645463.3.peg.1102	Stage_III_sporulation_protein_AF
645463.3.peg.1103	Stage_III_sporulation_protein_AG
645463.3.peg.1104	Stage_III_sporulation_protein_AH
645463.3.peg.1105	Alkaline_shock_protein
645463.3.peg.116	LSU_ribosomal_protein_L13p_(L13Ae)
645463.3.peg.1106	Transcription_termination_protein_NusB
645463.3.peg.1107	Uncharacterized_protein_DSY2363
645463.3.peg.1108	Exodeoxyribonuclease_VII_large_subunit_(EC_3.1.11.6)
645463.3.peg.1109	Exodeoxyribonuclease_VII_small_subunit_(EC_3.1.11.6)
645463.3.peg.1110	(2E,6E)-farnesyl_diphosphate_synthase_(EC_2.5.1.10)
645463.3.peg.1111	Uncharacterized_membrane_protein_YuiD
645463.3.peg.117	SSU_ribosomal_protein_S9p_(S16e)
645463.3.peg.1112	1-deoxy-D-xylulose_5-phosphate_synthase_(EC_2.2.1.7)
645463.3.peg.1113	RNA_binding_methyltransferase_FtsJ_like
645463.3.peg.1114	DNA_repair_protein_RecN
645463.3.peg.1115	hypothetical_protein
645463.3.peg.1116	Acetyltransferase
645463.3.peg.1117	hypothetical_protein
645463.3.peg.1118	Stage_IV_sporulation_protein_B
645463.3.peg.1119	Stage_0_sporulation_two-component_response_regulator_(Spo0A)
645463.3.peg.118	N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)
645463.3.peg.1120	FIG005773:_conserved_membrane_protein_ML1361
645463.3.peg.1121	FIG00520628:_hypothetical_protein
645463.3.peg.1122	Glycosyltransferases_involved_in_cell_wall_biogenesis
645463.3.peg.1123	FIG00516494:_hypothetical_protein
645463.3.peg.1124	FIG00517240:_hypothetical_protein
645463.3.peg.1125	ADP-ribose_pyrophosphatase_(EC_3.6.1.13)
645463.3.peg.1126	Stage_II_sporulation_protein_M_(SpoIIM)
645463.3.peg.1127	Site-specific_tyrosine_recombinase_XerD
645463.3.peg.1128	Phosphopentomutase_(EC_5.4.2.7)
645463.3.peg.1129	Purine_nucleoside_phosphorylase_(EC_2.4.2.1)_@_N-Ribosylnicotinamide_phosphorylase_(EC_2.4.2.1)
645463.3.peg.1130	Pyrimidine-nucleoside_phosphorylase_(EC_2.4.2.2)
645463.3.peg.1131	Murein_endolytic_transglycosylase_MltG
645463.3.peg.1132	FIG011945:_O-methyltransferase_family_protein
645463.3.peg.1133	Uncharacterized_protease_YrrO
645463.3.peg.1134	MrdA-like_protein
645463.3.peg.1135	RNA_polymerase_sporulation_specific_sigma_factor_SigK
645463.3.peg.1136	Site-specific_recombinase
645463.3.peg.1137	putative_lipoprotein
645463.3.peg.1138	Cell_surface_protein
645463.3.peg.1139	hypothetical_protein
645463.3.peg.1140	Mobile_element_protein
645463.3.peg.1141	Phage_protein
645463.3.peg.1142	hypothetical_protein
645463.3.peg.1143	hypothetical_protein
645463.3.peg.1144	hypothetical_protein
645463.3.peg.1145	hypothetical_protein
645463.3.peg.1146	hypothetical_protein
645463.3.peg.1147	hypothetical_protein
645463.3.peg.1148	hypothetical_protein
645463.3.peg.1149	hypothetical_protein
645463.3.peg.1150	hypothetical_protein
645463.3.peg.1151	hypothetical_protein
645463.3.peg.1152	Putative_regulatory_protein
645463.3.peg.1153	Uncharacterized_membrane_spanning_protein,_contains_VanZ-like_domain
645463.3.peg.1154	hypothetical_protein
645463.3.peg.1155	hypothetical_protein
645463.3.peg.1156	RNA_polymerase_sporulation_specific_sigma_factor_SigK
645463.3.peg.1157	hypothetical_protein
645463.3.peg.1158	hypothetical_protein
645463.3.peg.1159	hypothetical_protein
645463.3.peg.1160	hypothetical_protein
645463.3.peg.1161	hypothetical_protein
645463.3.peg.1162	Translation_elongation_factor_P
645463.3.peg.1163	hypothetical_protein
645463.3.peg.1164	Ribonuclease_III_(EC_3.1.26.3)
645463.3.peg.1165	Radical_SAM_domain_protein
645463.3.peg.1166	Chromosome_partition_protein_smc
645463.3.peg.1167	Signal_recognition_particle_receptor_FtsY
645463.3.peg.1168	Signal_recognition_particle_associated_protein
645463.3.peg.1169	Signal_recognition_particle_protein_Ffh
645463.3.peg.1170	SSU_ribosomal_protein_S16p
645463.3.peg.1171	KH_domain_RNA_binding_protein_YlqC
645463.3.peg.1172	16S_rRNA_processing_protein_RimM
645463.3.peg.1173	tRNA_(guanine(37)-N(1))-methyltransferase_(EC_2.1.1.228)
645463.3.peg.1174	LSU_ribosomal_protein_L19p
645463.3.peg.1175	LSU_ribosomal_maturation_GTPase_RbgA_(B._subtilis_YlqF)
645463.3.peg.1176	Na(+)-dependent_branched-chain_amino_acid_transporter
645463.3.peg.1177	Na(+)-dependent_branched-chain_amino_acid_transporter
645463.3.peg.1178	Ribonucleotide_reductase_of_class_II_(coenzyme_B12-dependent)_(EC_1.17.4.1)
645463.3.peg.1179	Ribonuclease_HII_(EC_3.1.26.4)
645463.3.peg.1180	Probable_glycolate_oxidase
645463.3.peg.1181	hypothetical_protein
645463.3.peg.1182	Putative_regulatory_protein
645463.3.peg.1183	Domain_of_unknown_function_/_Efflux_ABC_transporter,_permease_protein
645463.3.peg.1184	Domain_of_unknown_function_/_Efflux_ABC_transporter,_permease_protein
645463.3.peg.1185	Efflux_ABC_transporter,_ATP-binding_protein
645463.3.peg.1186	Two-component_transcriptional_response_regulator,_LuxR_family
645463.3.peg.1187	Histidine_kinase-like_ATPase
645463.3.peg.1188	UPF0102_protein_YraN
645463.3.peg.1189	AAA+_ATPase_superfamily_protein_YifB/ComM,_associated_with_DNA_recombination
645463.3.peg.1190	Rossmann_fold_nucleotide-binding_protein_Smf_possibly_involved_in_DNA_uptake
645463.3.peg.1191	DNA_topoisomerase_I_(EC_5.99.1.2)
645463.3.peg.1192	GTP-sensing_transcriptional_pleiotropic_repressor_CodY
645463.3.peg.1193	Replication-associated_recombination_protein_RarA
645463.3.peg.1194	Acetyltransferase
645463.3.peg.1195	Iron-sulfur_cluster_regulator_IscR
645463.3.peg.1196	Cysteine_desulfurase_(EC_2.8.1.7)
645463.3.peg.1197	Iron-sulfur_cluster_assembly_scaffold_protein_IscU/NifU-like
645463.3.peg.1198	tRNA-specific_2-thiouridylase_MnmA_(EC_2.8.1.13)
645463.3.peg.1199	Alanyl-tRNA_synthetase_(EC_6.1.1.7)
645463.3.peg.1200	UPF0297_protein_YrzL
645463.3.peg.1201	Phosphoglyceromutase
645463.3.peg.1202	Putative_pre-16S_rRNA_nuclease_YqgF
645463.3.peg.1203	FIG00513284:_hypothetical_protein
645463.3.peg.1204	Ferric_uptake_regulation_protein_FUR
645463.3.peg.1205	Predicted_membrane-associated_metal-binding_protein
645463.3.peg.1206	hypothetical_protein
645463.3.peg.1207	Ribonuclease_J_(endonuclease_and_5'_exonuclease)
645463.3.peg.1208	hypothetical_protein
645463.3.peg.1209	D-alanyl-D-alanine_carboxypeptidase_(EC_3.4.16.4)
645463.3.peg.1210	hypothetical_protein
645463.3.peg.1211	Uncharacterized_transcriptional_regulator_YbfI,_AraC_family
645463.3.peg.1212	Membrane_metalloprotease
645463.3.peg.1213	Segregation_and_condensation_protein_A
645463.3.peg.1214	Segregation_and_condensation_protein_B
645463.3.peg.1215	hypothetical_protein
645463.3.peg.1216	Spore_protein_GerW_(YtfJ),_not_involved_in_spore_germination
645463.3.peg.1217	hypothetical_protein
645463.3.peg.1218	Cytosol_aminopeptidase_PepA_(EC_3.4.11.1)
645463.3.peg.1219	hypothetical_protein
645463.3.peg.1220	FIG00516843:_hypothetical_protein
645463.3.peg.1221	hypothetical_protein
645463.3.peg.1222	NAD-dependent_protein_deacetylase_of_SIR2_family
645463.3.peg.1223	N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)
645463.3.peg.1224	DNA_polymerase_III_polC-type_(EC_2.7.7.7)
645463.3.peg.1225	Bacterial_ribosome_SSU_maturation_protein_RimP
645463.3.peg.1226	Transcription_termination_protein_NusA
645463.3.peg.1227	COG2740:_Predicted_nucleic-acid-binding_protein_implicated_in_transcription_termination
645463.3.peg.1228	Ribosomal_protein_L7Ae_family_protein_YlxQ
645463.3.peg.1229	Translation_initiation_factor_2
645463.3.peg.1230	Ribosome-binding_factor_A
645463.3.peg.1231	3'-to-5'_oligoribonuclease_A,_Bacillus_type
645463.3.peg.1232	tRNA_pseudouridine(55)_synthase_(EC_5.4.99.25)
645463.3.peg.1233	FMN_adenylyltransferase_(EC_2.7.7.2)_/_Riboflavin_kinase_(EC_2.7.1.26)
645463.3.peg.1234	SSU_ribosomal_protein_S15p_(S13e)
645463.3.peg.1235	DegV_family_protein
645463.3.peg.119	Aspartate_aminotransferase_(EC_2.6.1.1)
645463.3.peg.1236	Polyribonucleotide_nucleotidyltransferase_(EC_2.7.7.8)
645463.3.peg.1237	FIG007013:_polysaccharide_deacetylase,_putative
645463.3.peg.1238	FIG007959:_peptidase,_M16_family
645463.3.peg.1239	Uncharacterized_protein_YmxH
645463.3.peg.1240	Aspartokinase_(EC_2.7.2.4)
645463.3.peg.1241	Translocation-enhancing_protein_TepA
645463.3.peg.1242	DNA_translocase_FtsK
645463.3.peg.1243	Selenophosphate-dependent_tRNA_2-selenouridine_synthase
645463.3.peg.1244	Ribosomal_protein_S12p_Asp88_(E._coli)_methylthiotransferase_(EC_2.8.4.4)
645463.3.peg.1245	CDP-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase_(EC_2.7.8.5)
645463.3.peg.1246	RecA_protein
645463.3.peg.1247	Ribonuclease_Y
645463.3.peg.120	Ribonucleotide_reductase_of_class_III_(anaerobic),_large_subunit_(EC_1.17.4.2)
645463.3.peg.1248	hypothetical_protein
645463.3.peg.1249	Signal_peptidase_I_(EC_3.4.21.89)
645463.3.peg.1250	Undecaprenyl-diphosphatase_(EC_3.6.1.27)
645463.3.peg.1251	Site-specific_tyrosine_recombinase
645463.3.peg.1252	Adenylosuccinate_lyase_(EC_4.3.2.2)_@_SAICAR_lyase_(EC_4.3.2.2)
645463.3.peg.1253	Transcriptional_regulator,_MarR_family
645463.3.peg.1254	PTS_system,_maltose_and_glucose-specific_IIC_component_/_PTS_system,_maltose_and_glucose-specific_IIB_component_(EC_2.7.1.208)
645463.3.peg.1255	Sialic_acid_utilization_regulator,_RpiR_family
645463.3.peg.1256	Maltose-6'-phosphate_glucosidase_(EC_3.2.1.122)
645463.3.peg.1257	Alanine_transaminase_(EC_2.6.1.2)
